x,y,z,u
0.005644503781286364,0.008777585943502298,1.4144605719704566e-06,0.2
0.005785487649150846,0.009079442795377209,1.5138402947719757e-06,0.2
0.005929647235360469,0.009388661847611314,1.6191813905485997e-06,0.2
0.0060770664257532876,0.009705403482353742,1.7307899354782543e-06,0.2
0.006227830549656872,0.010029831466038544,1.8489827286849388e-06,0.2
0.0063820263798883056,0.01036211294938471,1.974087292238721e-06,0.2
0.006539744235714299,0.010702427965654156,2.1065360204008053e-06,0.2
0.006701078287422737,0.011050985402419338,2.246970343625379e-06,0.2
0.006866114343806784,0.011407968604211992,2.3956919399252614e-06,0.2
0.007034940201629095,0.011773563981510748,2.553008810817793e-06,0.2
0.007207646504530046,0.012147964127650238,2.7192688766180627e-06,0.2
0.007384326743027729,0.01253136781882109,2.894859976438912e-06,0.2
0.007565077254517955,0.012923980014069938,3.0802098681909275e-06,0.2
0.0077499972232742565,0.013326011855299403,3.2757862285824487e-06,0.2
0.00793918868044788,0.013737680667268107,3.48209665311956e-06,0.2
0.008132756504067794,0.014159209957590676,3.6996886561060975e-06,0.2
0.008330808419040684,0.014590829416737727,3.929149670643645e-06,0.2
0.008533454997150957,0.015032774918035875,4.171107048631538e-06,0.2
0.008740809657060731,0.015485288517667735,4.426228060766857e-06,0.2
0.008952988664309852,0.015948618454671923,4.695219896544431e-06,0.2
0.009170111131315876,0.016423019150943047,4.978829664256845e-06,0.2
0.009392299017374088,0.016908751211231712,5.277844390994424e-06,0.2
0.009619677128657474,0.017406081423144516,5.593091022645244e-06,0.2
0.00985237311821676,0.01791528275714408,5.925436423895139e-06,0.2
0.010090517485980378,0.018436634366549,6.2757873782276815e-06,0.2
0.010334243578754478,0.01897042158753387,6.645090587924198e-06,0.2
0.010583687590222934,0.019516935939129287,7.03433267406376e-06,0.2
0.010838988560947331,0.020076475123221846,7.444540176523192e-06,0.2
0.011100288378366983,0.02064934302455414,7.876779553977066e-06,0.2
0.011367731776798912,0.021235849710724758,8.3321571838977e-06,0.2
0.011641466337437869,0.02183631143218829,8.811819362555166e-06,0.2
0.011921642488356312,0.022451050622255317,9.316952305017285e-06,0.2
0.012208413504504426,0.023080395897092418,9.84878214514962e-06,0.2
0.012501935507710109,0.02372468205572218,1.040857493561549e-05,0.2
0.012802367466678986,0.024384250080023186,1.0997636647875963e-05,0.2
0.013109872129462843,0.02505945049179072,1.1617360187166741e-05,0.2
