x,x_dot,u
0.1254,0.22999999999999965,0.77618
0.12655,0.22999999999999965,0.77618
0.13,0.23050000000000015,0.77618
0.13116,0.17299999999999954,0.77618
0.13346,0.17250000000000043,0.77618
0.13461,0.11499999999999982,0.77618
0.13576,0.22999999999999965,0.77618
0.13921,0.17250000000000043,0.77618
0.13921,0.057500000000000606,0.77618
0.14036,0.17250000000000043,0.77618
0.14266,0.11499999999999982,0.77618
0.14266,0.0,0.77618
0.14266,0.05749999999999922,0.77618
0.14381,0.05749999999999922,0.77618
0.14381,-0.05749999999999922,0.77618
0.14266,-0.05749999999999922,0.77618
0.14266,-0.11499999999999982,0.77618
0.14036,-0.11499999999999982,0.77618
0.14036,-0.057500000000000606,0.77618
0.13921,-0.11500000000000121,0.77618
0.13806,-0.17250000000000043,0.77618
0.13576,-0.17249999999999904,0.77618
0.13461,-0.11499999999999982,0.77618
0.13346,-0.17250000000000043,0.77618
0.13116,-0.17299999999999954,0.77618
0.13,-0.23050000000000015,0.77618
0.12655,-0.22999999999999965,0.77618
0.1254,-0.11499999999999982,0.77618
0.12425,-0.17250000000000043,0.77618
0.12195,-0.22999999999999965,0.77618
0.11965,-0.23000000000000034,0.77618
0.11735,-0.23000000000000034,0.77618
0.11505,-0.22999999999999965,0.77618
0.11275,-0.17249999999999974,0.77618
0.1116,-0.11499999999999982,0.77618
0.11045,-0.23000000000000034,0.77618
0.107,-0.23050000000000015,0.77618
0.10584,-0.17300000000000024,0.77618
0.10354,-0.17250000000000043,0.77618
0.10239,-0.11499999999999982,0.77618
0.10124,-0.05749999999999991,0.77618
0.10124,-0.11499999999999982,0.77618
0.09894,-0.11499999999999982,0.77618
0.09894,-0.05749999999999991,0.77618
0.09779,-0.05749999999999991,0.77618
0.09779,0.0,0.77618
0.09779,0.0,0.77618
0.09779,0.0,0.77618
0.09779,0.0,0.77618
0.09779,0.0,0.77618
0.09779,0.05749999999999991,0.77618
0.09894,0.05749999999999991,0.77618
0.09894,0.11499999999999982,0.77618
0.10124,0.11499999999999982,0.77618
0.10124,0.05749999999999991,0.77618
0.10239,0.11499999999999982,0.77618
0.10354,0.17250000000000043,0.77618
0.10584,0.17300000000000024,0.77618
0.107,0.11549999999999963,0.77618
0.10815,0.17250000000000043,0.77618
0.11045,0.17250000000000043,0.77618
0.1116,0.11499999999999982,0.77618
0.11275,0.17249999999999974,0.77618
0.11505,0.22999999999999965,0.77618
0.11735,0.23000000000000034,0.77618
0.11965,0.17250000000000043,0.77618
0.1208,0.11499999999999982,0.77618
0.12195,0.17249999999999974,0.77618
