x,omega,u
0.14823540085060333,19.948077653964283,1.8216
0.14818236794201423,19.948484434691892,1.8216
0.14825328540629962,19.949017919700836,1.8216
0.14832264258570727,19.949585163136327,1.8216
0.14829527049131838,19.94998569940394,1.8216
0.1483253772785576,19.95020620985999,1.8216
0.14841766896794345,19.950233742986022,1.8216
0.14843636722059217,19.950055708493622,1.8216
0.1484601070388945,19.949659868481554,1.8216
0.1484662307376085,19.949141845753395,1.8216
0.14853462322475294,19.948705905229826,1.8216
0.14847650680736837,19.948370375686704,1.8216
0.1484126861226885,19.948154516535098,1.8216
0.1483822689561994,19.94807860919735,1.8216
0.14836251373637538,19.94816404995685,1.8216
0.14825502185237335,19.948325924173613,1.8216
0.1483194381296678,19.948559082809208,1.8216
0.1482281446870586,19.94885701944922,1.8216
0.14818662097660049,19.949211861460462,1.8216
0.14817816523919813,19.949614361148093,1.8216
0.1480365735808502,19.950053886912766,1.8216
0.1481198894378744,19.950518414407846,1.8216
0.14807032103280432,19.950994517696504,1.8216
0.14804357808554364,19.95146736040893,1.8216
0.1478931364242597,19.951920686899463,1.8216
0.14786970698520727,19.95233681340375,1.8216
0.14793112013354337,19.952696619195933,1.8216
0.147938955112446,19.953087057853853,1.8216
0.14799492404096648,19.953328390810878,1.8216
0.14799525958610152,19.95343117958683,1.8216
0.14807037136457457,19.95340960470753,1.8216
0.1479985814829381,19.95328156002848,1.8216
0.14787366641780045,19.953068745584645,1.8216
0.14777723913462548,19.952689238858383,1.8216
0.14775642694762628,19.95233034228702,1.8216
0.14755754095747445,19.95199167061751,1.8216
0.14758691793404502,19.951671910098558,1.8216
0.14757144091469246,19.951368800794974,1.8216
0.14762183979397173,19.95107911890202,1.8216
0.14768272445872013,19.95079865905968,1.8216
0.1475824384064926,19.95052221666699,1.8216
0.14752373478512174,19.950162456061722,1.8216
0.14753241701549025,19.949735978202447,1.8216
0.14748784823293187,19.949255886041236,1.8216
0.14746295917254215,19.94873186853067,1.8216
0.147370348715278,19.948170283156966,1.8216
0.14732628325042216,19.9475742369994,1.8216
0.14722657601355246,19.947024780450512,1.8216
0.14718145358152132,19.946494899960065,1.8216
0.14716834215537059,19.945957011614652,1.8216
0.14709975672977357,19.945382934609153,1.8216
0.14703763054802557,19.944851384826293,1.8216
0.146900182872095,19.94417519070277,1.8216
0.14693804075195308,19.943358267774517,1.8216
0.1467841429757785,19.94240891991055,1.8216
0.14662701557767935,19.941339915951,1.8216
0.14661582514742663,19.940168564871154,1.8216
0.14656460418256653,19.93880926936377,1.8216
0.14661102685199584,19.937446355660956,1.8216
0.14664214027464012,19.936077143203107,1.8216
0.14660221879220173,19.9346986861454,1.8216
0.14656708721656567,19.933307737986475,1.8216
0.14655957100554137,19.931900716197006,1.8216
