time,x,y,z,u
81.93,7.292436587218709,2.0122085079902847,26.45311177435596,-8.463531390652822
81.932,7.280264838794314,2.030878600521888,26.429687801567088,-6.823628437529853
81.934,7.285472746822497,2.0498394156019746,26.406570474707983,-7.418159163856127
81.936,7.299864082847154,2.0691276353048225,26.383818011541134,-7.715420804741265
81.938,7.28604891454256,2.0887069588240803,26.361395178903546,-6.725507692036725
81.94,7.263452547039133,2.108511892338018,26.33922769272472,-6.361029493625241
81.94200000000001,7.281781688345965,2.1285905757132815,26.31738561056326,-7.791372324614211
81.944,7.265265259151171,2.1489465915173502,26.295884571223986,-6.564213574186823
81.946,7.285399152916386,2.1695786119868594,26.27473239010584,-7.824826788945746
81.94800000000001,7.2935356039470385,2.1905227703005945,26.25398613654806,-7.427140742574376
81.95,7.271777303210017,2.2117005690723746,26.23355790618055,-6.31947235204647
81.952,7.2778917830052015,2.233103659805076,26.213445760314873,-7.319940960343043
81.95400000000001,7.284335657385027,2.2547760915283885,26.193715011582626,-7.320768022365006
81.956,7.303948211584516,2.2767367071595874,26.174400146913673,-7.751796624085385
81.958,7.300723859040179,2.298961728228293,26.155483135388668,-6.966523599743671
81.96000000000001,7.325335168014974,2.321455366179494,26.13697972140104,-7.895198765389594
81.962,7.352577953922283,2.3442678729369315,26.118965145366875,-7.9801430787061225
81.964,7.346672795090973,2.367335625036062,26.10137290256562,-6.85458477167528
81.96600000000001,7.378198951914939,2.3906618169093243,26.084217638352815,-8.099250488534159
81.968,7.4045254794257325,2.4143010724286067,26.067580901553242,-7.940552011696915
81.97,7.395102622019634,2.438167857797182,26.051368877557753,-6.709988226244434
81.97200000000001,7.396883905904808,2.462209168723997,26.035524792496936,-7.095666246913371
81.974,7.387341792291455,2.4864183786044878,26.0200495956119,-6.663819501543588
81.976,7.396998524784661,2.5108054289028403,26.004964637849692,-7.33238572948237
81.97800000000001,7.430882618012657,2.5354503294883926,25.99038186884191,-8.114837013243172
81.98,7.467466201704719,2.560399753640106,25.976374956359845,-8.20394629086473
81.982,7.478043987734312,2.5855991590557417,25.962890234393527,-7.367928301121267
81.984,7.484165038257217,2.6109802279406678,25.949853365214423,-7.2033668205012695
81.986,7.523163455469837,2.636594746899001,25.937342224901922,-8.264287430816783
81.988,7.5112093625903364,2.662397115300263,25.925312652909263,-6.53446979751817
81.99,7.5431987863386265,2.68836745652165,25.913749856771528,-8.03201362072587
81.992,7.567760481257009,2.7145735903427743,25.902755074533975,-7.79878782744382
81.994,7.575882502565671,2.7409578886868595,25.89226813205095,-7.2457836452992685
81.996,7.573905036304334,2.767457614071325,25.882218990729545,-6.871515710144578
81.998,7.616016915436276,2.7941382648983755,25.872704269495905,-8.318536656369556
82.0,7.645064897181401,2.8210565813038886,25.863814711789466,-7.9217190443372765
82.002,7.635226488146267,2.8480933964989577,25.85540824913719,-6.567793753902988
82.004,7.644198857437598,2.875199700814057,25.84742953867172,-7.229566529003693
82.006,7.642392249864642,2.902385450936815,25.83990171358752,-6.829442646573055
82.008,7.687031525937866,2.929720942396171,25.832930470300035,-8.355041463197253
82.01,7.699246503131218,2.95722670781743,25.826559954012197,-7.321472916555711
82.012,7.707982712245881,2.984817101569239,25.820687762557895,-7.189838555048951
82.014,7.73896101463117,3.0125254100735224,25.815372080295635,-7.920691049109699
82.016,7.751518864116329,3.0403507983378613,25.810626956171173,-7.312096093992356
82.018,7.76653953844058,3.0682503797628344,25.806406667381637,-7.386302970972939
82.02,7.765945374441613,3.0961872600191143,25.802671883816135,-6.822219465752864
82.022,7.826577590246489,3.1242542999199316,25.799566256229458,-8.785059676655667
82.024,7.842556132225804,3.1524760697082885,25.797144979338025,-7.412902732155378
82.026,7.862782507680692,3.180754737278597,25.79528534171585,-7.548088777670975
82.028,7.894722090793103,3.209116384526291,25.794040389511075,-7.925156469823639
82.03,7.91547639980945,3.2375520461204763,25.793414542824145,-7.562718688718851
82.032,7.917770109037631,3.2659871305637083,25.793313748657543,-6.913386864996967
82.034,7.931191565448978,3.2943978548838966,25.793714360102562,-7.290634989146591
82.036,7.929581535414082,3.322767386891934,25.794602559088286,-6.73887673562409
82.038,7.977364436677234,3.351163907674418,25.796093192745964,-8.370003324851435
82.04,8.015595161982931,3.3796632646912808,25.79832200892535,-8.088649464529421
82.042,8.02653316041686,3.408172759912409,25.801168200733393,-7.193060710834001
82.044,8.050080685645119,3.4366510225845754,25.804583412297724,-7.611348354655037
82.046,8.094976141016922,3.4651623458526677,25.80868565740047,-8.28639122269217
82.048,8.100068725945446,3.4936541504751957,25.81341271587246,-6.980469297660261
82.05,8.11146265096691,3.52204450811404,25.818648331886127,-7.1885858310089805
82.052,8.144513021738456,3.5503855211399737,25.824490154431032,-7.9020874293799315
82.054,8.188353299472375,3.578736209281256,25.831054587932737,-8.242520375481316
82.056,8.199294218329294,3.6070358361363906,25.838264324365397,-7.1749175140731225
82.058,8.232351019267396,3.6352511226121766,25.84608170960362,-7.90412787062388
82.06,8.233885391382053,3.6633507783727723,25.854471426485365,-6.82676785718099
82.062,8.236114740718403,3.6912605745091107,25.86331889661311,-6.833083531470036
82.06400000000001,8.281572986070694,3.7190662277775357,25.872784108808716,-8.262336621352432
82.066,8.29406472951441,3.746777049445638,25.882904169292317,-7.196836003988689
82.068,8.308353559306877,3.774316996672373,25.89356210524325,-7.2491842432130635
82.07000000000001,8.293397926388373,3.801619694694583,25.904650670048916,-6.135984182520735
82.072,8.306805537462107,3.828677653207764,25.91616233790493,-7.180038367566076
82.074,8.318383275781482,3.8555381630740486,25.928193977230986,-7.1058643431799835
82.07600000000001,8.33157231655126,3.8821920189659265,25.94074173344038,-7.152289836251949
82.078,8.354075809239692,3.9086526284855303,25.953845188137226,-7.464954687181048
82.08,8.38769571218766,3.934951182197733,25.967582230916534,-7.829482157808851
82.08200000000001,8.383048191289895,3.9610210533171406,25.9818435402355,-6.48454527786309
82.084,8.41129948614035,3.9868436491834838,25.996605211798773,-7.639237386183369
82.086,8.444058061679838,4.012483271266329,26.012012949936246,-7.788415075437756
82.08800000000001,8.45139098053505,4.037886400761922,26.027980536837454,-6.92035491446995
82.09,8.48817016988652,4.063051424857084,26.0445218891761,-7.910925977940108
82.092,8.49269136131017,4.087961334325972,26.061621624346913,-6.81243208604965
82.09400000000001,8.530953379594267,4.112609626918477,26.079283269389055,-7.952762814168404
82.096,8.523588663151306,4.136962268965988,26.09745300513928,-6.35150703209267
